"Project ID","Title Project","Short Descr Project","Project Starts","Project Ends","Level of Impact","ISO CODE","Loc of Impact","Loc Info","% Aim 1: Right to Sustainable Livelihoods","% Aim 2: Right to Essential services","% Aim 3: Right to Life and Security","% Aim 4: Right to be heard","% Aim 5: Right to Equity"," Expenditure prior to 2010/11","Expenditure in 2010/11"," Revised Budget  in current and future years (£) ","Total Value all years (£)"
"IDSC40","West Java Earthquake Response","The project addresses Oxfam's response to emergency and early recovery to the West Java EQ affected areas that struck on 2nd September. It is aimed to mitigate risks to the physical integrity of most vulnerable men, women and children from the most vulnerable families affected by West Java earthquake and support the existing community coping mechanisms for early recovery by May 2010 and ensure learning from the response influences local, national and regional disaster management policy and practice. Project areas are in 4 districts: Ciamis, Cianjur, Tasikmalaya and Garut.","3-Sep-09 ","17-May-10 ","Country","ID","Indonesia"," District of Ciamis and Cianjur, West Java Province, Indonesia ",-0,-0,100,-0,-0," 425,922 "," 90,101 "," 1,274 "," 517,297 "
"IDSC43","Response to Earthquake in West Sumatra, Indonesia Shelter,Rubble clearance/NFIs","A powerful earthquake measuring 7.6 on the Richter Scale struck off the coast of West Sumatra, in Pariaman at a depth of 71 kilometers on 30 September 2009 at 05.15 p.m. Western Indonesia Time. Following, an earthquake with magnitude of 6.2 RS hit the same region worsening the impact.","12-Oct-09 ","30-Apr-10 ","Country","ID","Indonesia"," Padang , West Sumatra ",-0,-0,80,-0,20," 623,667 "," 23,728 ",-0," 645,817 "
"IDSC44","Response to Earthquake in West Sumatra, Indonesia WASH","A powerful earthquake measuring 7.6 on the Richter Scale struck off the coast of West Sumatra, in Pariaman at a depth of 71 kilometers on 30 September 2009 at 05.15 p.m. Western Indonesia Time. Following, an earthquake with magnitude of 6.2 RS hit the same region worsening the impact. The aim of this projectis to address the immediate and medium-term risks to public health of affected populations resulting from destruction of shelter and lack of basic hygiene and household items.","12-Oct-09 ","30-Apr-10 ","Country","ID","Indonesia"," Padang , west Sumatra ",-0,-0,80,-0,20," 436,786 "," 5,143 ",-0," 441,930 "
"IDSC46","Response to Earthquake in West Sumatra, Indonesia Advocacy","this project presents the advocacy and media strategy for Oxfam’s response to the Sept 2009 West Sumatra earthquake. A number of the issues to be addressed within this West Sumatra advocacy strategy are relevant for Indonesia generally, or may be ongoing concerns at a regional and global level.  Therefore, this strategy identifies both advocacy and media actions to be taken at district, provincial and national levels within Indonesia, and contributions to global and regional level Rights in Crisis policy and advocacy.","12-Oct-09 ","30-Apr-10 ","Country","ID","Indonesia"," Padang , west Sumatra ",-0,-0,100,-0,-0," 91,202 "," 26,896 ",-0," 118,098 "
"IDSC48","Do’s and Don’ts in DRR in Indonesia","This project aims at reviewing DRR investments made In Indonesia and  will gather lessons, evidence and produce recommendations, explicitly addressing the gendered impacts and gaps at national, provincial and district levels. Outcomes will inform Oxfam DM/DRR Advocacy strategy.","1-Feb-10 ","31-Dec-10 ","Country","ID","Indonesia"," West Sumatra, West Java, Jakarta ",-0,-0,100,-0,-0,-0," 54,998 ",-0," 54,998 "
"IDSC49","PRIME - Tanggap! Emergency Preparedness & Response in Indonesia","The project aimed to increase Oxfam and partners emergency preparedness to disasters & provide appropriate emergency responses. It will achieve by deliver timely and appropriately humanitarian interventions in any district in Indonesia where local capacities are unable to cope with the scale of disaster. To increase the effectiveness, speed and impact of an emergency intervention Oxfam will strengthen existing partnerships and form new strategic partnerships and alliances with key humanitarian actors, continue develop our standing capacity through capacity building, ensure  the knowledge management, focus on logistics preparedness.","1-Jan-10 ","31-Mar-12 ","Country","ID","Indonesia"," Indonesia ",-0,-0,100,-0,-0,-0," 303,585 "," 93,839 "," 397,424 "
"IDSC50","Restoring Coastal Livelihood in South Sulawesi, Indonesia","This project aims to enhance the livelihood security of 5,400 vulnerable coastal communities on the west coast of South Sulawesi using a multi-stake holder, collaborative approach to improved management of the inter-tidal region, including sustainable utilization of resources and ecological mangrove restoration (EMR).  A special focus will be placed upon empowering women, securing their rights and enhancing the well being of coastal communities. The project will be implemented in 4 districts in South Sulawesi: Pangkajene kepulauan, Barru, maros, and Takalar from 2009 to 2014.","18-Feb-10 ","31-Mar-14 ","Country","ID","Indonesia"," Pangkajene Kepulauan, Barru, Maros, and Takalar Districts, South Sulawesi ",42,-0,10,21,27," 12,763 "," 500,055 "," 2,499,437 "," 3,012,255 "
"IDSC51","LISTEN: Local Initiative to Strengthen and Empower  Women","This project aims to improve the livelihood security and resilience of women living in poverty by influencing powerholders to implement existing policy or change it in favour of women living in poverty in Sulawesi and east Nusa Tenggara province, Eastern Indonesia.","2-Apr-10 ","31-Mar-11 ","Country","ID","Indonesia"," Sulawesi and East Nusa Tenggara Province in Eastern Indonesia ",-0,-0,-0,50,50,-0," 31,817 ",-0," 31,817 "
"IDSC53","Disaster Response to Merapi Volcano Eruption and Mentawai earthquake/tsunami","Oxfam and partner response to Merapi volcano eruption and Mentawai earthquake. Response activities expected in the area of NFI distribution (contingency stocks and GIK Unicef), advocacy in the area of humanitarian principles and standards, gender, accountability, DRR (govt policy and coordination) and support to government for information management system.","25-Oct-10 ","31-Mar-11 ","Country","ID","Indonesia"," Yogyakarta province, Central Java province, and West Sumatra province ",-0,30,40,-0,30,-0," 143,630 ",-0," 143,630 "
"KAMB07","Pro-Poor Governance, Civil Society, and Markets Project (PGCSMP) in Kampong Thom","The PGCSMP in Kg Thom province aims to increase participation of community members, to improve the relationship between CBOs to their respective Commune Council so that they can demand for better governance and service delivery and improm their resilience. To achieve this aim Oxfam works with its selected NGO partners and NGOs network in the province and also seek to work with private sector that have direct influence on the lives of poor women and men in the area.  This project will contribute to AIM 4, which is about rights of women and men to voice out their concerns about decisions that affect their lives.","1-Jul-07 ","31-Mar-11 ","Country","KH","Cambodia"," 23 communes in 4 districts of Kompong Thom, Cambodia ",40,-0,-0,50,10," 389,950 "," 146,382 ",-0," 536,332 "
"KAMB08","Pro-Poor Governance Civil Society and Markets Project (PGCSMP) in Stung Treng","The Pro-Poor Governance, Civil Society, and Markets Project (PGCSMP) in Stung Treng aims to help empower rural communities, by building the capacities of civil society at the grassroots level, including especially women’s groups, so that they are able to effectively engage government and other players (duty-bearers) and demand for increased accountability, services, as well as work together to increase their power in markets.  This project fits with OGB Aim 1, SCO 1.1, Aim 4, and Aim 5 SCO 5.1","1-Jul-07 ","31-Dec-10 ","Country","KH","Cambodia"," STUNG TRENG PROVINCE ",30,-0,-0,55,15," 371,921 "," 92,582 ",-0," 464,503 "
"KAMB09","Pro-Poor Governance, Civil Society, and Markets (PGCSM) Kratie Province","PGCSMP-Kracheh is a unified strategy to build local capacities, increase participation, and help to empower rural communities, CBOs, CSOs at the grassroots level, including especially women’s groups in the remote areas. Oxfam will also improve relationship of those groups to their respective commune council. Moreover, they are able to effectively engage government and other players and demand for increased accountability, services, as well as work together to increase their power in markets through better understanding and engagement in the value chain.  This project fits with OGB Aim 1, SCO 1.1, Aim 4, and Aim 5 SCO 5.1 and SCO 5.2.","1-Jul-07 ","31-Mar-11 ","Country","KH","Cambodia"," Kratie Province ",20,-0,-0,70,10," 409,530 "," 161,484 ",-0," 571,014 "
"KAMB13","Pro-Poor Governance, Civil Society, and Markets - Programme Management","This project is about managing the implementation, review and further development of P00444, including the description of operational guidance and supervision to projects in the four priority provinces, including the OGB sub-offices in Kampong Thom and Kratie. It describes in greater detail the management lines and responsibilities, roles and functions, the activities and their costs. This project does not have direct link to Oxfam’s global campaigning work. However, to achieve quality in the programme, this project will centrally provide and facilitate linking P00444 to Oxfam’s campaigns on Economic and Gender Justice.","1-Jul-07 ","31-Mar-11 ","Country","KH","Cambodia"," Up to96 Communes in provinces of Kratie, Kampong Thom, Stung Treng, Preah Vihear ",50,-0,-0,30,20," 170,725 "," 72,512 ",-0," 243,237 "
"KAMB19","Oxfam Operation for Economic and Social Justice in Cambodia","The Oxfam operation project for the Policy and Programme Development is one part of the ESJ PIP (P00512).The ESJ component of the country programme deals with policy issues related to NRM and markets, governance, and gender. The project is operated at national level to support the field based programme of Oxfam in 4 provinces and links to OI’s Economic Justice change goals through working groups and related activities at the country and regional levels. The costs include Oxfam staff salaries and benefits, staff travel, & share overhead costs of Oxfam.","1-May-08 ","31-Mar-11 ","Country","KH","Cambodia",-0,35,-0,5,30,30," 188,357 "," 49,260 ",-0," 237,617 "
"KAMB25","Working together for positive change","This project is part of ESJ programme aimed to challenge the growing inequality between rich and poor in Cambodia, thru fostering economic and social justice for poor men and women in Cambodia by coordinating multi – scrotal policy discussion  that relate to land right , aid effectiveness, climate change, National budget monitoring , and supporting women’s participation in all stages of the advcacy and all decision-making instances. The fund is for the Core cost and Programme cost, in basket with other donors.","1-May-08 ","30-Jun-11 ","Country","KH","Cambodia"," nation wide ",20,-0,20,30,30," 22,881 "," 11,540 ",-0," 34,421 "
"KAMB26","Community Forestry Projects in North West Province of CDA","The project aims to increase livelihood of CF members by encouraging  sustainable and effective use of natural forest resources through a participatory approach. Specific activities of the project are CF organizing, CF network meeting, formation of community cooperatives, and community training in forestry law and other advocacy skills. The project is in line with SCO 1.1,4, and 5.1. The grants are for the project staff salaries, office and admin costs, travel costs, community meetings, and materials or equipment supports self-help group for small business development.","1-Jun-08 ","31-May-10 ","Country","KH","Cambodia"," 26 villages in 6 communes of 3 districts in Odor Meanchey Province ",50,-0,-0,30,20," 48,904 "," 1,747 ",-0," 50,652 "
"KAMB27","Pro-Poor Governance, Civil Society, and Markets Programme in Preah Vihear","The Pro-Poor Governance, Civil Society, and Markets Project (PGCSMP) is aimed to address the drivers of poverty in natural resource dependant communities in Preah Vihear, Cambodia. Its objectives are to increase capacity of community-based organisations, local NGOs and local governments to respond to the demands of poor women and men in vulnerable communities for sustainable livelihoods (i.e.: tenure, natural resource management or NRM, and market access), participatory and accountable governnance (with emphasis on local development processes, allocation of local budget/funds, and DRR), and women's political and economic leadership.","1-May-08 ","31-Mar-11 ","Country","KH","Cambodia"," 9 communes in the province of Preah Vihear, Cambodia ",40,-0,-0,40,20," 153,072 "," 24,110 ",-0," 177,183 "
"KAMB34","Access to Land for Sustainable Livelihood -HRVC","This project focuses on women and men's rights to have access and control over natural resources for their sustainable livelihood and income generation dealing with national Policy on land. This project will be implemented in 2 provinces in Cambodia where human rights violation, especially increasing land dispute cases, adjudicated areas for systematic land registration implementation and high rate of landless and land-poor families occure.","1-May-08 ","31-Mar-11 ","Country","KH","Cambodia"," 2 provinces: Kampongcham and Kratie provinces ",20,-0,20,30,30," 126,772 "," 10,168 ",-0," 136,940 "
"KAMB35","Gender Justice - Operational Project","This project was develop to manage, implement, review, and provide technical support and further development of PIP 00491 and how it supports the rest of the country programme. It covers few activities, including Oxfam staff costs, and capacity building of staff and partners, as well as national gender mainstreaming, campaign, and advocacy. It delivers mainly to Aim 5 but will facilitate linking P00491 to Oxfam's campaigns on Gender and Economic Justice.","1-May-08 ","30-Apr-11 ","Country","KH","Cambodia"," nationwide ",-0,-0,-0,30,70," 55,606 "," 9,039 ",-0," 64,645 "
"KAMB45","Cambodia DM Operations","This project will support capacity building and coordination work by the DM team to Oxfam GB and partners. The work will be on DRR, CCA as well as emergency preparedness. The project will support work with Field operation initiatives espcially with women in building resilience.  The lessons gained will contribute towards OI advocacy and to extend support of work on emergency preparedness and response in other high risk locations where OI affiliates and their partners operate. It is an investment to Oxfam capacity in responding to Category 3 disasters whenever they occur in Cambodia.","1-May-09 ","30-Apr-12 ","Country","KH","Cambodia",-0,20,-0,80,-0,-0," 36,791 "," 27,732 "," 1,147 "," 65,671 "
"KAMB49","Women Economic and Political Empowerment","The project is part of PIP00491  Gender Justice . The main objective of this project is to help women to gain economic and social empowerment to move out of poverty. This work includes provision of capacity building on economic leadership to Female Commune Councilors in 3 priority provinces for Oxfam's programme, conducting multi-stakeholders fora, and provision of technical and resource to women's government and CBO, as well as business leaders' groups.","1-May-10 ","30-Apr-11 ","Country","KH","Cambodia"," Kampong Thom, Kratie, Stung Treng ",10,-0,-0,20,70,-0," 33,515 ",-0," 33,515 "
"KAMB50","Dist. WASH program for Kratie & Takeo jointly implemented by OAus and OGB","The agenda impact of the poor WASH coverage are evident in low retention rates for girls in schools where workloads for women and for girls.  Oxfam has started to fully integrate its WASH work with work on gender. This project aim to (1) reduce gender related WASH inequities and empower women (2) strengthen the capacity of the participating villages and the district and provincial government WASH service providers and (3) to use the evidence from the project to improve the national WASH sector’s knowledge and practices and contribute to the knowledge base of Oxfam and the international and Australian WASH sector including AusAID.","23-Jun-10 ","31-Dec-11 ","Country","KH","Cambodia"," Kratie and Takeo province ",-0,100,-0,-0,-0,-0," 61,324 "," 71,691 "," 133,015 "
"KAMB51","Supporting women's rights to land and natural resources","The project is part of PIP00512 Economic and Social Justice. The main objective of this project is to empower community people, especially women, to enjoy and to advocate for their land and natural resources rights through capacity development and women participation. The work supports the activities of ADHOC on capacity building on legal rights and leadership, legal support and advocacy to affected communities in the 3 focus provinces of Oxfam's programme.","1-Aug-10 ","30-Mar-11 ","Country","KH","Cambodia"," Kampong Thom, Kratie, and Stung Treng province ",30,-0,20,20,30,-0," 19,191 ",-0," 19,191 "
"KAMB52","Research and Communication Project","This project supports the management, implementation, review, and further development of the research and communication (advocacy) component of the Cambodia Country Programme. It covers some programme activities as well as staff costs and capacity building of both staff and partners. This project will link OGB's PWEL work, including advocacy, on livelihood, governance, and resilience to Oxfam's Campaign on EJ and GJ and will complement the global campaign on Climate Change.","11-Jul-10 ","31-Mar-12 ","Country","KH","Cambodia"," Nationwide ",20,-0,10,40,30,-0," 34,596 ",-0," 34,596 "
"KAMB53","Advocacy and campaigns","This project was developed to tackle gender inequality and promote women's empowerment by influencing policy at national level and working with decision makers for the realisation of women’s rights in Cambodia. This project will support MoWA and Women NGO’s network campaign activities. The outcome of the project will contribute to NCS in delivering program impact: secure sustainable livelihoods, power in the market, climate change adaptation.","3-Nov-10 ","31-Mar-11 ","Country","KH","Cambodia"," Nationwide ",20,-0,-0,40,40,-0," 8,733 ",-0," 8,733 "
"KAMB54","RICA-Research Project","This is a 3-year research project which contributes to the country program by providing research and information that deliver key operational activities. It focuses on livelihood of people mainly related to land, forestry, DRR and CCA. This project liaises closely with the regional, other countries, and global policy and campaigns teams. There are linkages between the project and other programmes: PWEL, advocacy, and communication.","1-Nov-10 ","31-Mar-13 ","Country","KH","Cambodia"," The countrywide ",10,-0,-0,30,60,-0," 6,328 "," 18,403 "," 24,731 "
"KAMB55","RICA - Communication Project","This project was developed to create shared understanding amongst publicity on program impact and maintain visibility profile and support of the STREI program’s goal of creating change . This project will support campaign activities of STREI-RICA program. The outcome of the project will contribute to NCS in delivering program impact: secure sustainable livelihoods, power in the market, climate change solution.","15-Nov-10 ","31-Mar-11 ","Country","KH","Cambodia"," Nationwide ",-0,20,-0,40,40,-0," 5,082 ",-0," 5,082 "
"KAMB56","NGO Forum on Cambodia - Working together towards positive change","This project is part of ESJ programme aimed to challenge the growing inequality between rich and poor in Cambodia, thru fostering economic and social justice for poor men and women in Cambodia by coordinating multi – sectoral policy discussion  that relate to land rights , aid effectiveness, climate change, national budget monitoring, and supporting women’s participation in all stages of the decision-making processes. The fund is for the Core cost and Programme cost, in basket with other donors.","25-Jan-11 ","30-Jun-11 ","Country","KH","Cambodia"," Nation wide ",20,-0,20,30,30,-0," 6,548 ",-0," 6,548 "
"KENB38","Mitigating the impacts of drought-related water stress in Turkana & Pokot","Oxfam is lead agency in a consortium of 5 INGOs implementing a 3 yr EU funded DMI aimed at taking forward achievements made during the 2006/07 ECHO Preparedness project specifically in the context of LRRD.  The project will work with 60 communities to improve access to and reliability of water.  With a focus on strenthening water management committees at community level and working with other stakeholders and coordination structures at district and national level, the project aims to improve  drought preparedness and response.","1-May-08 ","30-Apr-11 ","Country","KE","Kenya"," Turkana & North Pokot Districts ",-0,15,85,-0,-0," 959,036 "," 474,114 "," 200,296 "," 1,633,446 "
"KENB41","Livestock for Peace Project","This project contributes to PIP P00502 through strengthening advocacy, pyscho- social support  for conflict victims and strengthening local capacities for widows and reformed warriors._x000D_
 _x000D_
Expected changes in the lives of people will include;  Enhanced food and livelihoods' securities. _x000D_
Changes in Policy, Practice, Ideas and Behaviuors would target 200 needy households and reformed warriors. Lessons learned will benefit over 4000 individual  women, men and youth (Warriors) who are expected to replicate best practice approach. Oxfam will partner with SIKOM Network for Peace and Development.","1-Aug-08 ","31-Mar-11 ","Country","KE","Kenya"," Mt Elgon and West Pokot in Western and Rift Valley Provinces ",50,5,35,-0,10," 137,600 "," 15,437 ",-0," 153,037 "
"KENB44","DMI Livestock Component of Climatic Shocks in Livestock Based Livelihoods","VSF Belgium will lead a consortium of five international agencies that will collectively be responsible for implementation of a 3-year EU (VSF-B) funded aimed aims to support, strengthen and institutionalise existing drought response mechanisms to develop into a more effective and timely mechanism. The project will work with 30,000 people to strengthen the community based drought mitigation and contingency planning.  The key activities will be stakeholders planning meetings, training of community groups in drought preparedness.","1-May-08 ","30-Apr-11 ","Country","KE","Kenya"," Turkana district ",80,-0,20,-0,-0," 66,399 "," 94,789 "," 3,983 "," 165,172 "
"KENB46","Empowering Communities To Participate in Good Governance","This is a EU funded project under under PIP 502 that aims to empower communities in Turkana district to participate in good governance. It targets community members, the Civil society organisations in Turkana and both the political leaders and civil servants in Turkana.  Its key results are, increased community participation in budgetary formulation and policy processes, community awareness on good governance and where to seek redress, strengthened CSOs pressurising governance institutions for more accountability and marginalized and vulnerable community members participate in community development projects.","1-Feb-09 ","31-Mar-12 ","Country","KE","Kenya"," Turkana County ",-0,-0,-0,60,40," 37,185 "," 67,433 "," 102,623 "," 207,242 "
"KENB47","Turkana Basic Education for All","This project, in line with the current Oxfam strategy for Turkana that has identified education as one of the main pillars that can catalyse lasting change, supports access to and improved quality of basic education in Turkana. This will consolidate the gains already realised in education in Turkana through advocacy and support to quality education, and sees the project's expansion to new areas in central, south and northern Turkana, aligned to greater geographical integration with other sectors of intervention across the programme. A total of 42,100 pupils (boys and girls) will benefit directly while additional 22600 will benefit indirectly.","1-May-08 ","31-Mar-11 ","Country","KE","Kenya"," Turkana districts ",-0,85,-0,10,5," 345,422 "," 169,999 ",-0," 515,420 "
"KENB48","Hunger Safety Net - National Coordination, Planning, Quality and Influencing","Oxfam GB has been contracted to manage the design and implementation of the ‘administrative’ component of the pilot Hunger Safety Net in 4 arid districts (Mandera, Turkana, Wajir, Marsabit) of Northern Kenya.  This brings into effect a means to ensure predictable and guaranteed transfers of cash-based entitlements over a 4 year period to people identified as being the most poor and vulnerable to hunger and targets in total 60,000 households. This project covers the national level design and technical implementation oversight with Oxfam’s consortium partners (SC-UK & CARE Kenya), planning and coordination with other contracted component leads.","24-May-08 ","30-Apr-12 ","Country","KE","Kenya",-0,50,-0,50,-0,-0," 891,544 "," 712,320 "," 608,062 "," 2,211,926 "
"KENB49","Hunger Safety Net.  Turkana implementation","Oxfam GB has been contracted to manage the design and implementation of the ‘administrative’ component of the pilot Hunger Safety Net in 4 arid districts of Northern Kenya.  This brings into effect a means to ensure predictable and guaranteed transfers of cash-based entitlements over a 4 year period to people identified as being the most poor and vulnerable to hunger and targets in total 60,000 households.  This project covers the implementation in Turkana district targeting 25,000 households and links to planning and coordination with other contracted component leads.","24-May-08 ","30-Apr-12 ","Country","KE","Kenya"," Turkana District ",50,-0,50,-0,-0," 344,886 "," 234,816 "," 299,692 "," 879,394 "
"KENB50","Hunger Safety Net.  Wajir District Implementation","Oxfam GB has been contracted to manage the design and implementation of the ‘administrative’ component of the pilot Hunger Safety Net in 4 arid districts of Northern Kenya.  This brings into effect a means to ensure predictable and guaranteed transfers of cash-based entitlements over a 4 year period to people identified as being the most poor and vulnerable to hunger and targets in total 60,000 households.  This project covers the implementation of the project in Wajir district, targeting 16,000 households and planning and coordination with other contracted component leads and support with   local partners, WASDA and ALDEF.","24-May-08 ","30-Apr-12 ","Country","KE","Kenya"," Wajir District ",100,-0,-0,-0,-0," 195,319 "," 154,204 "," 255,235 "," 604,758 "
"KENB53","Advocacy for Climate Proofing Kenya's Development Agenda","This project under PIP P00494 aims to advocate for more commitment from the Government of Kenya and other international governments through coordinated Civil Society action- climate focused research, capacity building and stakeholder participation, networking and communication, climate change policy advocacy and campaigning in Kenya.   It is hoped that the Government of Kenya will be able to facilitate and develop climate change adaptation strategies nationally, support the implementation of the strategies and have a greater impact in the ongoing international climate change negotiations under the UNFCCC.","1-Aug-08 ","31-Jul-10 ","Country","KE","Kenya"," Nairobi, Wajir and Turkana ",10,10,20,40,20," 81,267 "," 16,071 ",-0," 97,338 "
"KENB55","Overaching Governance at National Level","This project supports governance activities under PIP P00494 and it aims at strengthening the collaboration, coordination and harmonisation of the Civil society organisations to ensure that it engages in the on-going reform process in the country by utilising its space to voice community aspirations as well as hold government and other duty bearers accountable to deliver services and resources in an equitable manner in order to reduce the poverty and inequality in the country. The benefiaries are the Kenya CSOs.","1-May-08 ","31-Mar-12 ","Country","KE","Kenya",-0,-0,-0,-0,60,40," 7,101 "," 14,392 "," 41,320 "," 62,813 "
"KENB60","Kenya Campaigns & Advocacy Mainstreaming Project","This project provides the implementation plan for the Kenya programme campaigns and advocacy agenda as identified within the Oxfam Kenya programme change strategy, reviewed in November 2010. The approach involves collaboration with others for pro-poor advocacy . Key items and acitivites funded include staff administration and personnel costs, trainings, consultations forums, campaigns, grants and research work.","18-Sep-08 ","31-Mar-12 ","Country","KE","Kenya",-0,-0,-0,20,50,30," 152,579 "," 60,602 "," 68,148 "," 281,329 "
"KENB64","Dadaab WASH Coordination improvement project","The 3 existing refugee camps in Dadaab, which were designed for 90,000 currently host 244,000 people.  Overcrowding has resulted in deterioration of basic services and increased the risk of disease outbreak.  Through this project, Oxfam will provide technical advisory and coordination support to  support existing operational agencies (UNHCR, CARE, NRC) to help ensure minimum SPHERE standard in the WASH sector are met. A field presence also positions Oxfam for the expected new camp(s) where Oxfam is expected to play a lead role in setting up WASH facilities.","1-Feb-09 ","30-Jul-10 ","Country","KE","Kenya"," Dadaab refugee camps (Ifo, Hagadera and Dagahaley) ",-0,-0,100,-0,-0," 66,508 "," 8,807 ",-0," 75,314 "
"KENB65","Distribution of food assistance through small traders in Turkana","Based on a desire to innovate, seek multipliers and foster DRR and adaptation strategies, this project explores the participation of small traders as service providers in the distribution of emergency food assistance.  Structural market failures in Turkana compound chronic food insecurity. Artificial and parallel distribution methods contribute to blocking market development.  While food assistance remains a critical need, this pilot seeks to build capacities, generate mechanisms for market engagement and strengthen small enterprises.   When at full scale, this intervention will support 25,000 beneficiaries working with 30 small traders.","20-Feb-09 ","31-Jul-11 ","Country","KE","Kenya"," Turkana North District ",50,-0,50,-0,-0," 91,770 "," 24,457 "," 45,280 "," 161,506 "
"KENB66","Food assistance through Protracted relief and Recovery Operation, Turkana","In line with current analysis, previous GoK/WFP/NGO coordinated and implemented EMOPs have transitioned to protracted operations better able to address chronic hunger in the ASALs.  Oxfam wil work under the PRRO in Turkana North, linked to predicatable cash-based instruments under the Hunger Safety Net Pilot to ensure that basic consumption and serivce access needs are met as part of the wider programme.  Initially approx 112,000 people will be targeted over a 12 month period.  Innovative approaches to distribution (see KENB65) and use of local commodities in the ration wil be used to strengthen market functioning and incentivise production.","1-May-09 ","30-Nov-10 ","Country","KE","Kenya"," KENB59, KENB22, KENB36, KENB38, KENB54 ",20,-0,80,-0,-0," 10,997,723 "," 5,055,626 ",-0," 16,053,348 "
"KENB67","Kenya Urban Development Programme: Employment for Youth and Water for All","The project intends to alleviate the problems of extreme poverty in the urban informal settlements and inadequate service provision by generating employment and income through sustainable waste management and water services. It also envisages to build the capacities of the unemployed youths in the informal settlement and generate incomes through recycling waste and product development. Simultaneously the project intends to work closely with the Nairobi Water Company for clean, safe and affordable water provisions for the urban informal settlers.","1-Apr-10 ","31-Mar-13 ","Country","KE","Kenya"," Nairobi Informal Settlements ",70,30,-0,-0,-0,-0," 130,620 "," 359,899 "," 490,519 "
"KENB69","Nairobi informal settlement sanitation project","Poor sanitation is a major problem in all slum or informal settlements in Nairobi.  An absence of sewer lines and lack of available land for on-plot sanitation are major obstacles to increasing sanitation coverage.   This project aims to work with existing stakeholders and pilot two technologies (urine diversion latrines & improved bucket latrine) which we believe have potential for replication and scale up within informal settlements.","15-Jun-09 ","31-Oct-11 ","Country","KE","Kenya"," Nairobi ",-0,40,60,-0,-0," 33,941 "," 16,144 "," 22,910 "," 72,995 "
"KENB71","Kenya Programme Resources Management Project","Oxfam’s third strategic direction requires that flexible organisational ways of working be put in place to support effective and innovative programming to achieve pro-poor changes in a time bound, and efficient manner. PIP P00494 was set up to take forward this strategic direction.The Kenya programme will among other initiatives consider  decentralization of decision-making, joint planning and most importantly enhancing flexibility of business systems. This project therefore takes forward this strategic direction by providing a structured and systematic means of mopping and reallocating resources across various country priority initiatives.","18-Jun-09 ","31-Mar-11 ","Country","KE","Kenya",-0,30,-0,20,50,-0,"-4,850 "," 22,353 ",-0," 17,504 "
"KENB72","Urban Programme Coordination","This project is under PIP P00504, and supports coordination of the urban programme. It addresses specific information gaps in thematic areas, develop an urban programme MEL framework and facilitate the development of mainstreaming tools HIV/AIDS, conflict sensitivity and climate change. It provides the steer needed to solidify the urban strategy and its implementation and contribute in profiling the urban programme among key stakeholders, geared towards more coordination and collaboration in urban programming. Beneficiaries are youth, men, women the urban slums. Funds to be used on staff, research and supporting strategic partners.","1-Jul-09 ","31-Mar-12 ","Country","KE","Kenya",-0,30,15,30,15,10," 69,160 "," 60,148 "," 54,798 "," 184,105 "
"KENB73","Food Security Crisis Intervention in Nairobi Urban Informal Settlements","The project emphasises interventions that are appropriate to the urban context. As access and affordability is the main driver of food insecurity in urban informal settlements, the Consortium of Oxfam GB, and Concern Worldwide through their partner organisations will implement cash transfer interventions. This is meant to offer immediate relief to target communities being affected by the increase in food prices over a period of eight months. The project proposes usage of existing mobile phone technology to expedite transfer of aid assistance by the poor. Partners will be engaged in effective targeting of beneficiaries and monitoring .","1-May-09 ","30-Nov-10 ","Country","KE","Kenya"," Nairobi urban  informal settlements ",70,-0,30,-0,-0," 291,518 "," 81,388 ",-0," 372,906 "
"KENB74","Northern Kenya Drought Preparedness Project","The project is part of the 3rd ECHO regional drought preparedness funding (RDD2).  It focuses in upto 60 locations within Greater Wajir targeting upto 194,500 people.  It includes i) an emergency response component of water trucking and destocking aimed at supporting human water needs and protecting livestock assets during the present drought and ii) aims to consolidate progress achieved in the previous 12 month RDD phase.  OGB will be implementing in close collaboration with and through local partners, WASDA, ALDEF & DPA.","1-Jul-09 ","30-Jun-10 ","Country","KE","Kenya"," 60 locations within Greater Wajir, NE Province ",10,-0,90,-0,-0," 402,233 "," 183,158 ",-0," 585,390 "
"KENB75","Enhancing Food and Income Security by Strengthening Livestock Based Livelihoods","The project will contribute towards improved animal health conditions through availability of animal health services in Kaaleng, Kibish, Lapur, and Lokitaung divisions of Turkana north District. They key changes will be contribution of local capacities to effective and efficient conduits to increased coverage and access to animal health services for wider uptake by others (particularly government) promoting a functional model of inter-linked specialised actors. The project will target 11,000 men and women and  will be managed by Oxfam GB.  Funds will be spent on capacity building, technical and financial support to groups.","1-May-09 ","31-Jul-10 ","Country","KE","Kenya"," Kaaleng, Kibish, Lapur, and Lokitaung divisions of TurkanTurkana north district ",60,-0,35,-0,5," 33,630 "," 67,187 ",-0," 100,818 "
